video_id,frame_idx,t,track_id,class,conf_det,u,v,w,h
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097887,person,0.7602,535.8,929.4,40.0,94.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097888,car,0.7140,1646.3,536.9,143.2,59.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097889,car,0.5218,464.4,349.0,53.3,46.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097890,car,0.4643,640.6,496.4,62.4,53.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097891,car,0.4853,1473.7,884.9,324.5,184.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097892,car,0.4746,555.8,303.4,65.6,48.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097804,person,0.5063,1785.8,626.8,35.1,92.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097039,person,0.3690,1742.6,619.1,43.4,106.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097896,person,0.3370,1705.8,614.8,40.5,63.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097897,car,0.4660,1476.6,884.0,211.5,89.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1096423,car,0.5785,727.9,334.0,52.0,41.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097053,car,0.5474,25.4,673.5,226.6,88.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1096559,car,0.4027,0.0,733.6,363.0,165.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097753,truck,0.4525,4.3,731.0,338.2,166.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097794,car,0.3741,682.9,307.0,56.1,47.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097885,car,0.7545,925.3,689.3,170.2,85.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097886,car,0.7919,1447.9,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097887,person,0.7400,534.9,928.5,39.7,94.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097888,car,0.7487,1646.0,536.7,143.2,59.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097889,car,0.5277,466.1,349.7,52.2,45.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097890,car,0.5192,644.0,500.8,57.4,49.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097891,car,0.4227,1465.3,880.5,323.5,184.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097892,car,0.5160,551.6,298.6,71.1,52.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097804,person,0.5209,1785.4,625.5,35.9,94.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097039,person,0.3654,1742.2,618.9,43.9,107.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,4,0.133333,1097896,person,0.3549,1705.5,614.3,41.2,64.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1096423,car,0.5796,728.1,334.2,51.7,41.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097053,car,0.5472,25.6,673.5,226.0,89.1
